scenario,tsa_num,sawnwood,panels,otherirw,pulppaper,bioenergycommodities,bioenergyharvest,bioenergyharvestresidue,bioenergymillresidue
CBM_Base_HWP_LLP,26.0,1.868147,1.868147,1.868147,4.85027,1.868147,1.868147,1.868147,1.868147
CBM_Base_HWP_LLP,27.0,0.5001675,0.5001675,0.5001675,1.298585,0.5001675,0.5001675,0.5001675,0.5001675
CBM_Base_HWP_LLP,29.0,1.842447,1.842447,1.842447,4.783545,1.842447,1.842447,1.842447,1.842447
CBM_Base_HWP_LLP,30.0,1.277445,1.277445,1.277445,3.316632,1.277445,1.277445,1.277445,1.277445
CBM_Base_HWP_LLP,31.0,1.480311,1.480311,1.480311,3.843332,1.480311,1.480311,1.480311,1.480311
CBM_Base_HWP_LLP,33.0,0.9208889,0.9208889,0.9208889,2.390904,0.9208889,0.9208889,0.9208889,0.9208889
CBM_Base_HWP_LLP,37.0,0.7066677,0.7066677,0.7066677,1.834721,0.7066677,0.7066677,0.7066677,0.7066677
CBM_Base_HWP_LLP,38.0,1.209529,1.209529,1.209529,3.140301,1.209529,1.209529,1.209529,1.209529
CBM_Base_HWP_LLP,39.0,1.055486,1.055486,1.055486,2.740358,1.055486,1.055486,1.055486,1.055486
CBM_Base_HWP_LLP,40.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_Base_HWP_LLP,41.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_Base_HWP_LLP,43.0,0.6960649,0.6960649,0.6960649,1.807193,0.6960649,0.6960649,0.6960649,0.6960649
CBM_Base_HWP_LLP,44.0,1.870824,1.870824,1.870824,4.857219,1.870824,1.870824,1.870824,1.870824
CBM_Base_HWP_LLP,45.0,1.846037,1.846037,1.846037,4.792866,1.846037,1.846037,1.846037,1.846037
CBM_A_HWP_Base,1.0,1.023576,1.023576,1.023576,2.65751,1.023576,1.023576,1.023576,1.023576
CBM_A_HWP_Base,2.0,0.4405597,0.4405597,0.4405597,1.143825,0.4405597,0.4405597,0.4405597,0.4405597
CBM_A_HWP_Base,3.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_A_HWP_Base,4.0,0.5583216,0.5583216,0.5583216,1.44957,0.5583216,0.5583216,0.5583216,0.5583216
CBM_A_HWP_Base,5.0,1.831981,1.831981,1.831981,4.756373,1.831981,1.831981,1.831981,1.831981
CBM_A_HWP_Base,7.0,1.831782,1.831782,1.831782,4.755856,1.831782,1.831782,1.831782,1.831782
CBM_A_HWP_Base,8.0,1.845085,1.845085,1.845085,4.790395,1.845085,1.845085,1.845085,1.845085
CBM_A_HWP_Base,9.0,0.524078,0.524078,0.524078,1.360664,0.524078,0.524078,0.524078,0.524078
CBM_A_HWP_Base,10.0,1.858704,1.858704,1.858704,4.825753,1.858704,1.858704,1.858704,1.858704
CBM_A_HWP_Base,11.0,0.8473631,0.8473631,0.8473631,2.200009,0.8473631,0.8473631,0.8473631,0.8473631
CBM_A_HWP_Base,12.0,1.838402,1.838402,1.838402,4.773042,1.838402,1.838402,1.838402,1.838402
CBM_A_HWP_Base,13.0,0.5842435,0.5842435,0.5842435,1.516872,0.5842435,0.5842435,0.5842435,0.5842435
CBM_A_HWP_Base,14.0,1.864804,1.864804,1.864804,4.841589,1.864804,1.864804,1.864804,1.864804
CBM_A_HWP_Base,15.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_A_HWP_Base,16.0,0.5446209,0.5446209,0.5446209,1.413999,0.5446209,0.5446209,0.5446209,0.5446209
CBM_A_HWP_Base,17.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_A_HWP_Base,18.0,1.849771,1.849771,1.849771,4.802559,1.849771,1.849771,1.849771,1.849771
CBM_A_HWP_Base,19.0,0.7623888,0.7623888,0.7623888,1.97939,0.7623888,0.7623888,0.7623888,0.7623888
CBM_A_HWP_Base,20.0,0.52898,0.52898,0.52898,1.373391,0.52898,0.52898,0.52898,0.52898
CBM_A_HWP_Base,21.0,1.007292,1.007292,1.007292,2.615232,1.007292,1.007292,1.007292,1.007292
CBM_A_HWP_Base,22.0,1.491316,1.491316,1.491316,3.871904,1.491316,1.491316,1.491316,1.491316
CBM_A_HWP_Base,23.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_A_HWP_Base,24.0,1.829471,1.829471,1.829471,4.749856,1.829471,1.829471,1.829471,1.829471
CBM_A_HWP_Base,25.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_A_HWP_Base,26.0,1.868147,1.868147,1.868147,4.85027,1.868147,1.868147,1.868147,1.868147
CBM_A_HWP_Base,27.0,0.5001675,0.5001675,0.5001675,1.298585,0.5001675,0.5001675,0.5001675,0.5001675
CBM_A_HWP_Base,29.0,1.842447,1.842447,1.842447,4.783545,1.842447,1.842447,1.842447,1.842447
CBM_A_HWP_Base,30.0,1.277445,1.277445,1.277445,3.316632,1.277445,1.277445,1.277445,1.277445
CBM_A_HWP_Base,31.0,1.480311,1.480311,1.480311,3.843332,1.480311,1.480311,1.480311,1.480311
CBM_A_HWP_Base,33.0,0.9208889,0.9208889,0.9208889,2.390904,0.9208889,0.9208889,0.9208889,0.9208889
CBM_A_HWP_Base,37.0,0.7066677,0.7066677,0.7066677,1.834721,0.7066677,0.7066677,0.7066677,0.7066677
CBM_A_HWP_Base,38.0,1.209529,1.209529,1.209529,3.140301,1.209529,1.209529,1.209529,1.209529
CBM_A_HWP_Base,39.0,1.055486,1.055486,1.055486,2.740358,1.055486,1.055486,1.055486,1.055486
CBM_A_HWP_Base,40.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_A_HWP_Base,41.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_A_HWP_Base,43.0,0.6960649,0.6960649,0.6960649,1.807193,0.6960649,0.6960649,0.6960649,0.6960649
CBM_A_HWP_Base,44.0,1.870824,1.870824,1.870824,4.857219,1.870824,1.870824,1.870824,1.870824
CBM_A_HWP_Base,45.0,1.846037,1.846037,1.846037,4.792866,1.846037,1.846037,1.846037,1.846037
CBM_A_HWP_LLP,1.0,1.390666,1.390666,1.390666,2.65751,1.390666,1.390666,1.390666,1.390666
CBM_A_HWP_LLP,2.0,0.5985599,0.5985599,0.5985599,1.143825,0.5985599,0.5985599,0.5985599,0.5985599
CBM_A_HWP_LLP,3.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_A_HWP_LLP,4.0,0.7585554,0.7585554,0.7585554,1.44957,0.7585554,0.7585554,0.7585554,0.7585554
CBM_A_HWP_LLP,5.0,2.488994,2.488994,2.488994,4.756373,2.488994,2.488994,2.488994,2.488994
CBM_A_HWP_LLP,7.0,2.488724,2.488724,2.488724,4.755856,2.488724,2.488724,2.488724,2.488724
CBM_A_HWP_LLP,8.0,2.506798,2.506798,2.506798,4.790395,2.506798,2.506798,2.506798,2.506798
CBM_A_HWP_LLP,9.0,0.7120307,0.7120307,0.7120307,1.360664,0.7120307,0.7120307,0.7120307,0.7120307
CBM_A_HWP_LLP,10.0,2.525301,2.525301,2.525301,4.825753,2.525301,2.525301,2.525301,2.525301
CBM_A_HWP_LLP,11.0,1.151257,1.151257,1.151257,2.200009,1.151257,1.151257,1.151257,1.151257
CBM_A_HWP_LLP,12.0,2.497717,2.497717,2.497717,4.773042,2.497717,2.497717,2.497717,2.497717
CBM_A_HWP_LLP,13.0,0.7937739,0.7937739,0.7937739,1.516872,0.7937739,0.7937739,0.7937739,0.7937739
CBM_A_HWP_LLP,14.0,2.533588,2.533588,2.533588,4.841589,2.533588,2.533588,2.533588,2.533588
CBM_A_HWP_LLP,15.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_A_HWP_LLP,16.0,0.7399412,0.7399412,0.7399412,1.413999,0.7399412,0.7399412,0.7399412,0.7399412
CBM_A_HWP_LLP,17.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_A_HWP_LLP,18.0,2.513164,2.513164,2.513164,4.802559,2.513164,2.513164,2.513164,2.513164
CBM_A_HWP_LLP,19.0,1.035808,1.035808,1.035808,1.97939,1.035808,1.035808,1.035808,1.035808
CBM_A_HWP_LLP,20.0,0.7186908,0.7186908,0.7186908,1.373391,0.7186908,0.7186908,0.7186908,0.7186908
CBM_A_HWP_LLP,21.0,1.368543,1.368543,1.368543,2.615232,1.368543,1.368543,1.368543,1.368543
CBM_A_HWP_LLP,22.0,2.026155,2.026155,2.026155,3.871904,2.026155,2.026155,2.026155,2.026155
CBM_A_HWP_LLP,23.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_A_HWP_LLP,24.0,2.485584,2.485584,2.485584,4.749856,2.485584,2.485584,2.485584,2.485584
CBM_A_HWP_LLP,25.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
